pair_id,domain,clean_text,corrupted_text,clean_label,corrupted_label,split,pair_hash
2,movie,The film was wonderful.,The film was awful.,positive,negative,discovery,e143bdaf782f0a8e82fdb11e28edd1913196be7769de8f9c369f66e876b8c430
3,movie,The acting was amazing.,The acting was horrible.,positive,negative,discovery,e202e2d3451986d9d833ced3338137796a250fdcd26b3ffc054a9db71ce74d83
4,movie,The story was brilliant.,The story was dreadful.,positive,negative,discovery,7f751dd7d9bbbb8273f946a3c6b39f0a1f05356c15c33cbaedc0fed3d414dd79
5,movie,The ending was satisfying.,The ending was disappointing.,positive,negative,discovery,d7dc39256b5f6280952896db6df04f6fde91b4d84f3a7398b19f91d8e04df164
6,movie,The performance was outstanding.,The performance was terrible.,positive,negative,discovery,ed0a574f7c381d46f93ea1b0e974a01dad4daf1151dd8b831bd5377dcc773526
7,movie,The director was talented.,The director was incompetent.,positive,negative,discovery,9bdf6b4467b4e7df904e2d09944f9009d31b3496eaa05665e440c79d46df04cc
9,movie,The characters were engaging.,The characters were boring.,positive,negative,discovery,4d52f1258b9c4bc6d06a4ae13d86b632074b9893efac161d23ac8a540a13b19b
10,movie,The dialogue was clever.,The dialogue was stupid.,positive,negative,discovery,624a6f4285b74189ffcf65a9c2a17fae5e6e6e122a8b78cf1731b1c0ec23b79f
11,movie,The screenplay was impressive.,The screenplay was disappointing.,positive,negative,discovery,8d2d0a30e12e1bf203b142fadb5a5e7ba3b1150beaedeea2d5608c3a33b2f1d8
13,movie,The pacing was perfect.,The pacing was awful.,positive,negative,discovery,05b5a06a3fb4434c29724b035e131a08b7587ad17181fc973840b2a7a550bf1e
14,movie,The acting was convincing.,The acting was unconvincing.,positive,negative,discovery,411b96f02749ef985ce38844430f92269da008071e3cde049bffad04cf5ab317
21,movie,I found the movie genuinely enjoyable.,I found the movie genuinely unpleasant.,positive,negative,discovery,ed5053517591249037240c23c51ab9bef4c7e160b67861602fd2ee7342a7105d
23,movie,The performances made the film remarkable.,The performances made the film forgettable.,positive,negative,discovery,331a4b9c420b00889fd8cad62c62c89cac8c5d5c75119cdfaa2ecda1b858846d
24,movie,"After watching it, I felt impressed.","After watching it, I felt disappointed.",positive,negative,discovery,a30ff565a8492ce891a1515c42b4ec7811961e6d7589a4b8c04ba9c2c986cbcc
25,movie,The movie remained engaging from beginning to end.,The movie remained boring from beginning to end.,positive,negative,discovery,3230b855dccccf0067afbe131267172a9957412b310cbeffe7f2be1f8228d2e6
28,restaurant,The service was friendly.,The service was rude.,positive,negative,discovery,b56503f8a75622508d14bc6d33114147219b165722719c44e4f7b87b916cfbb1
29,restaurant,The meal was satisfying.,The meal was disappointing.,positive,negative,discovery,1b9647fb9bb8281b8827da97b458b4273c8737f7fa11ebe464205d102c40373e
30,restaurant,The menu was impressive.,The menu was disappointing.,positive,negative,discovery,89032f54cb9df0e38b99f5023132bad80ec40b2e3b20f775823547276e1554ae
31,restaurant,The staff were attentive.,The staff were careless.,positive,negative,discovery,f4d94b149fdb0315c522a0b4f86fc1371e0d46a306c3cbe57ea2479a5a514347
35,restaurant,The ingredients tasted fresh.,The ingredients tasted stale.,positive,negative,discovery,efb2792d5ec88de27c5c909a4f70a1fe72d76d6a474b1ec6e14c25188a840059
36,restaurant,I found the meal delightful.,I found the meal disappointing.,positive,negative,discovery,aa5ad2cf2d2fcfb19367ed97e1092869523f65633a15029503651955f56b18ee
38,restaurant,The restaurant provided excellent service.,The restaurant provided terrible service.,positive,negative,discovery,b0cbcdc2befc480bd1f1074e2b36cba960013e90ad93ce9f88eac4751fc9e8a8
39,restaurant,The meal was carefully prepared.,The meal was poorly prepared.,positive,negative,discovery,783c46a351bbbfabbe1d10fe34c28dbcd0fb024cf9369242b4708a5d02ffc12e
40,restaurant,"Overall, the restaurant exceeded my expectations.","Overall, the restaurant failed my expectations.",positive,negative,discovery,878713aba7017fa68b47aa95894dc3995c1bbe9958486da32be149d392b941b8
43,software,The interface was elegant.,The interface was clumsy.,positive,negative,discovery,5e9a125e9eeb51d64571dd65c62e43e8d8ee12d14ad81e8a7bcd3b248e3c5a4c
44,software,The system was efficient.,The system was inefficient.,positive,negative,discovery,1b68c0fce99cdced6c2cc7f32539187802c8c729963390381a5ecffb4fca15d8
45,software,The update was helpful.,The update was harmful.,positive,negative,discovery,ac17b3f5e229a8d11386fbf5d69d77f2fec14250a1202ece15dae6ba417d9d5a
46,software,The documentation was clear.,The documentation was confusing.,positive,negative,discovery,4da6ef4c624282ad23173cec7c49acb37faa2ad29efe79f83723fedca4a797f3
47,software,The tool was powerful.,The tool was useless.,positive,negative,discovery,547a7375fd12cd8200e9628ccfe6418a56a478bb35708ef7dacddc3779324e89
48,software,The platform was responsive.,The platform was sluggish.,positive,negative,discovery,eabe41232b773cd7a907bd82bfcc4c6de65a38e7f5ec5a0b597ad39f16772ab5
49,software,The implementation was robust.,The implementation was fragile.,positive,negative,discovery,817e9bf4fcac30368aaad7bc479a899bfeba70bbdcedad09868b1a67d15d84f4
51,software,The program was easy to use.,The program was difficult to use.,positive,negative,discovery,11f3b274b26261400b48f7823051da759c7b74c017e08c4d85b974e9e9f2a879
53,software,The system handled the workload smoothly.,The system handled the workload badly.,positive,negative,discovery,63960833ecc87aea48c3d5ce7a8a12c85d8a1f212161fd89176e5d73b216f64f
56,product,The product was excellent.,The product was terrible.,positive,negative,discovery,51fec04753c18e87d50f95673fa4c9760738731257ac40ccc78b4e995a96713a
57,product,The device was reliable.,The device was unreliable.,positive,negative,discovery,798437f65a1fa023361d5ae48d7996179488a61c34fec82958739b3fc2356c8d
59,product,The keyboard felt comfortable.,The keyboard felt uncomfortable.,positive,negative,discovery,f43da7d2c2c293abef2ece6c68bececa7d9c3d9d5ae8d59a6abd127de516fa7c
60,product,The laptop performed smoothly.,The laptop performed poorly.,positive,negative,discovery,b362fa0152f8790866c57c9dcc4386bf64281961326a116a5564389a8d45a9e7
