pair_id,layer,head,head_label,position,clean_token,corrupted_token,difference_norm
1,8,9,L8H9,0,<|endoftext|>,<|endoftext|>,0.0
1,8,9,L8H9,1,Review,Review,0.0
1,8,9,L8H9,2,:,:,0.0
1,8,9,L8H9,3, The, The,0.0
1,8,9,L8H9,4, movie, movie,0.0
1,8,9,L8H9,5, was, was,0.0
1,8,9,L8H9,6, excellent, terrible,0.21789541840553284
1,8,9,L8H9,7,.,.,0.39866960048675537
1,8,9,L8H9,8,"
","
",0.30204394459724426
1,8,9,L8H9,9,Sent,Sent,0.2614062428474426
1,8,9,L8H9,10,iment,iment,0.49179235100746155
1,8,9,L8H9,11,:,:,0.8026367425918579
1,9,2,L9H2,0,<|endoftext|>,<|endoftext|>,0.0
1,9,2,L9H2,1,Review,Review,0.0
1,9,2,L9H2,2,:,:,0.0
1,9,2,L9H2,3, The, The,0.0
1,9,2,L9H2,4, movie, movie,0.0
1,9,2,L9H2,5, was, was,0.0
1,9,2,L9H2,6, excellent, terrible,0.07765339314937592
1,9,2,L9H2,7,.,.,0.6024543046951294
1,9,2,L9H2,8,"
","
",0.11817818135023117
1,9,2,L9H2,9,Sent,Sent,0.6128464341163635
1,9,2,L9H2,10,iment,iment,0.410293847322464
1,9,2,L9H2,11,:,:,1.1536556482315063
1,10,4,L10H4,0,<|endoftext|>,<|endoftext|>,0.0
1,10,4,L10H4,1,Review,Review,0.0
1,10,4,L10H4,2,:,:,0.0
1,10,4,L10H4,3, The, The,0.0
1,10,4,L10H4,4, movie, movie,0.0
1,10,4,L10H4,5, was, was,0.0
1,10,4,L10H4,6, excellent, terrible,0.42425546050071716
1,10,4,L10H4,7,.,.,0.7329726815223694
1,10,4,L10H4,8,"
","
",0.24117343127727509
1,10,4,L10H4,9,Sent,Sent,0.09063837677240372
1,10,4,L10H4,10,iment,iment,0.7893405556678772
1,10,4,L10H4,11,:,:,1.6903421878814697
