pair_id,domain,split,clean_text,corrupted_text,clean_ld,corrupted_ld,behavioral_gap,clean_positive_logit,clean_negative_logit,corrupted_positive_logit,corrupted_negative_logit,clean_prediction,corrupted_prediction,clean_correct,corrupted_correct,clean_sequence_length,corrupted_sequence_length
1,movie,heldout,The movie was excellent.,The movie was terrible.,1.0762939453125,-0.21822357177734375,1.2945175170898438,-121.7957763671875,-122.8720703125,-118.98566436767578,-118.76744079589844,positive,negative,True,True,12,12
2,movie,discovery,The film was wonderful.,The film was awful.,1.0695114135742188,-0.5381088256835938,1.6076202392578125,-123.44832611083984,-124.51783752441406,-119.85501098632812,-119.31690216064453,positive,negative,True,True,12,12
3,movie,discovery,The acting was amazing.,The acting was horrible.,1.0176162719726562,-0.01616668701171875,1.033782958984375,-118.62409210205078,-119.64170837402344,-116.0651626586914,-116.04899597167969,positive,negative,True,True,12,12
4,movie,discovery,The story was brilliant.,The story was dreadful.,1.1721267700195312,-0.171600341796875,1.3437271118164062,-116.21033477783203,-117.38246154785156,-114.82441711425781,-114.65281677246094,positive,negative,True,True,12,12
5,movie,discovery,The ending was satisfying.,The ending was disappointing.,0.8647003173828125,0.14643096923828125,0.7182693481445312,-116.67715454101562,-117.54185485839844,-118.76183319091797,-118.90826416015625,positive,positive,True,False,12,12
6,movie,discovery,The performance was outstanding.,The performance was terrible.,1.33782958984375,0.42436981201171875,0.9134597778320312,-117.29849243164062,-118.63632202148438,-115.58795928955078,-116.0123291015625,positive,positive,True,False,12,12
7,movie,discovery,The director was talented.,The director was incompetent.,0.7145462036132812,-0.17333984375,0.8878860473632812,-114.82582092285156,-115.54036712646484,-108.87570190429688,-108.70236206054688,positive,negative,True,True,12,12
8,movie,heldout,The soundtrack was beautiful.,The soundtrack was unpleasant.,0.9897918701171875,-0.269012451171875,1.2588043212890625,-120.58348083496094,-121.57327270507812,-119.58999633789062,-119.32098388671875,positive,negative,True,True,12,12
9,movie,discovery,The characters were engaging.,The characters were boring.,0.9612808227539062,-0.08667755126953125,1.0479583740234375,-117.23011779785156,-118.19139862060547,-115.4744873046875,-115.38780975341797,positive,negative,True,True,12,12
10,movie,discovery,The dialogue was clever.,The dialogue was stupid.,1.1173248291015625,-0.10051727294921875,1.2178421020507812,-117.67227172851562,-118.78959655761719,-113.43412017822266,-113.33360290527344,positive,negative,True,True,12,12
11,movie,discovery,The screenplay was impressive.,The screenplay was disappointing.,1.19085693359375,0.0048065185546875,1.1860504150390625,-128.5738525390625,-129.76470947265625,-126.44453430175781,-126.4493408203125,positive,positive,True,False,12,12
12,movie,heldout,The cinematography was stunning.,The cinematography was ugly.,0.45844268798828125,-0.6960830688476562,1.1545257568359375,-118.80573272705078,-119.26417541503906,-115.30525207519531,-114.60916900634766,positive,negative,True,True,13,13
13,movie,discovery,The pacing was perfect.,The pacing was awful.,0.9303741455078125,0.20587921142578125,0.7244949340820312,-117.47114562988281,-118.40151977539062,-118.27405548095703,-118.47993469238281,positive,positive,True,False,12,12
14,movie,discovery,The acting was convincing.,The acting was unconvincing.,0.9232177734375,0.32161712646484375,0.6016006469726562,-118.70516967773438,-119.62838745117188,-122.77523040771484,-123.09684753417969,positive,positive,True,False,12,15
15,movie,heldout,The plot was fascinating.,The plot was tedious.,0.989288330078125,0.3269500732421875,0.6623382568359375,-118.21546936035156,-119.20475769042969,-113.04196166992188,-113.36891174316406,positive,positive,True,False,12,12
16,movie,heldout,The film was enjoyable.,The film was unpleasant.,0.924041748046875,-0.5454788208007812,1.4695205688476562,-124.9024887084961,-125.82653045654297,-120.98876953125,-120.44329071044922,positive,negative,True,True,12,12
17,movie,heldout,The experience was memorable.,The experience was forgettable.,1.2387847900390625,0.278106689453125,0.9606781005859375,-117.90000915527344,-119.1387939453125,-117.80084228515625,-118.07894897460938,positive,positive,True,False,12,13
18,movie,heldout,The movie was entertaining.,The movie was boring.,0.9242019653320312,-0.08154296875,1.0057449340820312,-126.51372528076172,-127.43792724609375,-119.83946228027344,-119.75791931152344,positive,negative,True,True,12,12
19,movie,heldout,The production was polished.,The production was sloppy.,1.2661972045898438,0.3300018310546875,0.9361953735351562,-113.17757415771484,-114.44377136230469,-109.87156677246094,-110.20156860351562,positive,positive,True,False,12,12
20,movie,heldout,The final scene was fantastic.,The final scene was horrible.,0.8046112060546875,-0.3928375244140625,1.19744873046875,-120.95826721191406,-121.76287841796875,-116.65928649902344,-116.26644897460938,positive,negative,True,True,13,13
21,movie,discovery,I found the movie genuinely enjoyable.,I found the movie genuinely unpleasant.,1.05902099609375,-0.078216552734375,1.137237548828125,-129.47698974609375,-130.5360107421875,-128.801025390625,-128.72280883789062,positive,negative,True,True,14,14
